년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,7491 ,3221 ,731 ,982 ,101 ,355 ,372 ,176 ,0 ,466 ,52 ,50 ,176 ,279 ,193 ,337 ,0 ,0 
2012,9843 ,3306 ,913 ,1281 ,324 ,344 ,595 ,174 ,0 ,739 ,45 ,192 ,310 ,270 ,339 ,497 ,467 ,47 
2013,10508 ,3121 ,967 ,1256 ,426 ,287 ,642 ,195 ,44 ,816 ,48 ,334 ,387 ,268 ,452 ,561 ,659 ,45 
2014,10442 ,3026 ,882 ,1239 ,425 ,284 ,583 ,209 ,56 ,880 ,46 ,356 ,429 ,271 ,482 ,575 ,654 ,45 
2015,10288 ,2970 ,850 ,1252 ,435 ,223 ,583 ,235 ,56 ,890 ,42 ,358 ,470 ,177 ,474 ,574 ,654 ,45 
2016,10231 ,2863 ,850 ,1253 ,444 ,232 ,541 ,227 ,60 ,868 ,46 ,361 ,501 ,175 ,482 ,604 ,672 ,52 
2017,10163 ,2828 ,838 ,1236 ,460 ,238 ,544 ,229 ,61 ,876 ,44 ,363 ,490 ,179 ,479 ,629 ,669 ,0 
2018,9966 ,2791 ,835 ,1131 ,468 ,192 ,563 ,177 ,59 ,889 ,42 ,363 ,503 ,178 ,483 ,635 ,657 ,0 
2019,9879 ,2680 ,843 ,1115 ,472 ,193 ,568 ,175 ,60 ,893 ,42 ,380 ,508 ,175 ,476 ,640 ,659 ,0 
2020,9226 ,2601 ,677 ,1058 ,396 ,179 ,562 ,170 ,59 ,756 ,45 ,391 ,505 ,68 ,477 ,645 ,637 ,0 
2021,6855 ,1430 ,366 ,580 ,388 ,172 ,559 ,55 ,60 ,566 ,45 ,371 ,431 ,68 ,482 ,653 ,629 ,0 
