년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,5801 ,1045 ,606 ,326 ,365 ,157 ,257 ,174 ,0 ,1079 ,183 ,193 ,182 ,341 ,174 ,368 ,303 ,48 
2012,6289 ,1058 ,699 ,357 ,434 ,170 ,257 ,246 ,0 ,1138 ,183 ,236 ,260 ,315 ,189 ,369 ,326 ,52 
2013,6678 ,1121 ,710 ,374 ,479 ,165 ,257 ,232 ,22 ,1119 ,212 ,260 ,285 ,329 ,281 ,450 ,331 ,51 
2014,6934 ,1102 ,776 ,374 ,471 ,174 ,330 ,248 ,37 ,1111 ,222 ,268 ,281 ,347 ,329 ,479 ,338 ,47 
2015,7245 ,1105 ,760 ,443 ,472 ,189 ,395 ,322 ,76 ,1088 ,222 ,272 ,312 ,350 ,330 ,512 ,348 ,49 
2016,7416 ,1175 ,764 ,462 ,497 ,197 ,375 ,323 ,94 ,1086 ,231 ,261 ,318 ,359 ,358 ,512 ,350 ,54 
2017,7674 ,1195 ,756 ,544 ,520 ,234 ,368 ,330 ,115 ,1101 ,234 ,269 ,319 ,418 ,357 ,512 ,351 ,51 
2018,7787 ,1212 ,762 ,533 ,542 ,238 ,380 ,327 ,132 ,1088 ,238 ,284 ,325 ,412 ,366 ,543 ,351 ,54 
2019,7886 ,1231 ,721 ,541 ,552 ,235 ,380 ,332 ,144 ,1116 ,234 ,296 ,333 ,414 ,384 ,538 ,381 ,54 
2020,8012 ,1248 ,724 ,528 ,548 ,231 ,381 ,326 ,159 ,1163 ,274 ,302 ,338 ,415 ,399 ,526 ,392 ,58 
2021,8001 ,1246 ,752 ,542 ,548 ,238 ,343 ,322 ,162 ,1145 ,268 ,290 ,343 ,388 ,403 ,551 ,402 ,58 
