년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,27327 ,4766 ,2372 ,1393 ,1875 ,774 ,804 ,729 ,0 ,5081 ,961 ,1322 ,1068 ,1142 ,1592 ,1570 ,1536 ,342 
2012,27283 ,4822 ,2304 ,1463 ,1815 ,803 ,792 ,657 ,0 ,5109 ,986 ,1292 ,1051 ,1150 ,1735 ,1519 ,1450 ,335 
2013,26759 ,4725 ,2256 ,1486 ,1796 ,785 ,789 ,591 ,61 ,5008 ,978 ,1130 ,1071 ,1123 ,1654 ,1448 ,1517 ,341 
2014,26938 ,4732 ,2157 ,1473 ,1801 ,771 ,794 ,613 ,57 ,5115 ,1009 ,1146 ,1097 ,1169 ,1704 ,1470 ,1524 ,306 
2015,26588 ,4716 ,2118 ,1390 ,1760 ,743 ,724 ,555 ,50 ,5050 ,1031 ,1153 ,1067 ,1182 ,1685 ,1515 ,1520 ,329 
2016,26306 ,4609 ,2058 ,1352 ,1735 ,739 ,724 ,547 ,52 ,5008 ,1035 ,1154 ,1086 ,1163 ,1719 ,1506 ,1468 ,351 
2017,25853 ,4594 ,1954 ,1263 ,1720 ,682 ,739 ,549 ,50 ,4922 ,1027 ,1153 ,1086 ,1114 ,1698 ,1486 ,1467 ,349 
2018,25619 ,4507 ,1863 ,1254 ,1696 ,680 ,752 ,558 ,49 ,4866 ,1043 ,1139 ,1112 ,1105 ,1699 ,1458 ,1468 ,370 
2019,25387 ,4410 ,1816 ,1260 ,1674 ,667 ,754 ,533 ,47 ,4820 ,1032 ,1157 ,1209 ,1085 ,1648 ,1476 ,1431 ,368 
2020,25200 ,4367 ,1780 ,1257 ,1707 ,720 ,727 ,510 ,66 ,4766 ,987 ,1126 ,1289 ,1047 ,1579 ,1495 ,1421 ,356 
2021,24816 ,4264 ,1742 ,1252 ,1699 ,691 ,716 ,496 ,85 ,4708 ,929 ,1108 ,1275 ,1033 ,1568 ,1476 ,1407 ,367 
