년도,합계,교장,교감,수석교사,보직교사,교사,전문상담교사,사서교사,실기교사,보건교사,영양교사,기간제교사
2011,90464 ,1508 ,1551 ,0 ,16300 ,59323 ,179 ,241 ,16 ,1004 ,301 ,10041 
2012,89538 ,1480 ,1539 ,195 ,16407 ,57191 ,186 ,226 ,10 ,1000 ,315 ,10989 
2013,89469 ,1501 ,1510 ,250 ,16469 ,55972 ,258 ,217 ,7 ,976 ,311 ,11998 
2014,90174 ,1495 ,1490 ,293 ,16690 ,55881 ,259 ,224 ,8 ,1004 ,324 ,12506 
2015,90878 ,1501 ,1481 ,285 ,16886 ,55606 ,306 ,227 ,6 ,1009 ,336 ,13235 
2016,91474 ,1507 ,1486 ,260 ,17037 ,55850 ,316 ,214 ,4 ,1044 ,344 ,13412 
2017,91064 ,1528 ,1456 ,252 ,17171 ,55116 ,337 ,216 ,3 ,1055 ,364 ,13566 
2018,90855 ,1532 ,1456 ,230 ,17193 ,54359 ,457 ,250 ,2 ,1093 ,412 ,13871 
2019,89975 ,1534 ,1439 ,218 ,17082 ,52683 ,498 ,273 ,2 ,1116 ,481 ,14649 
2020,89666 ,1557 ,1458 ,193 ,17297 ,50993 ,542 ,315 ,1 ,1131 ,530 ,15649 
2021,91448 ,1603 ,1491 ,170 ,17709 ,50788 ,640 ,367 ,0 ,1213 ,588 ,16879 
