년도,합계,교장,교감,수석교사,보직교사,교사,전문상담교사,사서교사,실기교사,보건교사,영양교사,기간제교사
2011 ,5801 ,111 ,121 ,0 ,1226 ,3498 ,17 ,7 ,5 ,87 ,63 ,666 
2012 ,6289 ,122 ,125 ,14 ,1379 ,3721 ,17 ,7 ,1 ,93 ,72 ,738 
2013 ,6678 ,131 ,134 ,20 ,1552 ,3942 ,22 ,6 ,1 ,98 ,78 ,694 
2014 ,6934 ,138 ,141 ,23 ,1611 ,4041 ,25 ,9 ,1 ,101 ,77 ,767 
2015 ,7245 ,145 ,147 ,26 ,1681 ,4193 ,30 ,7 ,0 ,103 ,82 ,831 
2016 ,7416 ,148 ,152 ,18 ,1754 ,4326 ,34 ,7 ,1 ,106 ,88 ,782 
2017 ,7674 ,148 ,152 ,20 ,1809 ,4422 ,36 ,8 ,0 ,110 ,88 ,881 
2018 ,7787 ,152 ,155 ,21 ,1813 ,4420 ,58 ,11 ,1 ,121 ,96 ,939 
2019 ,7886 ,154 ,150 ,15 ,1809 ,4431 ,64 ,16 ,1 ,120 ,114 ,1012 
2020 ,8012 ,155 ,152 ,19 ,1879 ,4404 ,68 ,20 ,1 ,123 ,122 ,1069 
2021 ,8001 ,155 ,158 ,15 ,1852 ,4283 ,72 ,21 ,1 ,125 ,138 ,1181 
