년도,합계,교장,교감,수석교사,보직교사,교사,전문상담교사,사서교사,실기교사,보건교사,영양교사,기간제교사
2011,27327 ,479 ,498 ,0 ,6221 ,16321 ,196 ,45 ,48 ,345 ,107 ,3067 
2012,27283 ,478 ,490 ,71 ,6290 ,15836 ,200 ,40 ,35 ,358 ,112 ,3373 
2013,26328 ,463 ,468 ,98 ,6095 ,14910 ,219 ,37 ,33 ,349 ,108 ,3548 
2014,26938 ,491 ,490 ,106 ,6277 ,14974 ,225 ,37 ,31 ,353 ,115 ,3839 
2015,26588 ,494 ,481 ,105 ,6277 ,14237 ,233 ,39 ,27 ,330 ,117 ,4248 
2016,26306 ,485 ,476 ,88 ,6264 ,13991 ,233 ,42 ,19 ,341 ,115 ,4252 
2017,25853 ,488 ,464 ,73 ,6218 ,13638 ,234 ,43 ,15 ,321 ,115 ,4244 
2018,25619 ,477 ,477 ,62 ,6178 ,13218 ,240 ,46 ,12 ,348 ,128 ,4433 
2019,25387 ,483 ,456 ,63 ,6058 ,12567 ,236 ,55 ,5 ,348 ,143 ,4973 
2020,25200 ,486 ,450 ,57 ,6056 ,11896 ,252 ,56 ,4 ,330 ,156 ,5457 
2021,24816 ,481 ,461 ,48 ,5977 ,11287 ,252 ,59 ,3 ,350 ,164 ,5734 
