년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,109 ,44 ,11 ,12 ,2 ,6 ,5 ,3 ,0 ,7 ,1 ,1 ,3 ,5 ,3 ,6 ,0 ,0 
2012,147 ,45 ,14 ,16 ,5 ,6 ,8 ,3 ,0 ,11 ,1 ,3 ,6 ,5 ,6 ,9 ,8 ,1 
2013,165 ,44 ,15 ,17 ,7 ,5 ,9 ,4 ,1 ,13 ,1 ,6 ,8 ,5 ,8 ,11 ,10 ,1 
2014,164 ,44 ,14 ,17 ,7 ,5 ,8 ,4 ,1 ,13 ,1 ,6 ,9 ,5 ,8 ,11 ,10 ,1 
2015,161 ,43 ,14 ,17 ,8 ,4 ,8 ,4 ,1 ,13 ,1 ,6 ,9 ,3 ,8 ,11 ,10 ,1 
2016,159 ,41 ,14 ,17 ,8 ,4 ,7 ,4 ,1 ,13 ,1 ,6 ,9 ,3 ,8 ,12 ,10 ,1 
2017,158 ,41 ,14 ,17 ,8 ,4 ,7 ,4 ,1 ,13 ,1 ,6 ,9 ,3 ,8 ,12 ,10 ,0 
2018,155 ,41 ,14 ,16 ,8 ,3 ,7 ,3 ,1 ,13 ,1 ,6 ,9 ,3 ,8 ,12 ,10 ,0 
2019,154 ,40 ,14 ,16 ,8 ,3 ,7 ,3 ,1 ,13 ,1 ,6 ,9 ,3 ,8 ,12 ,10 ,0 
2020,145 ,39 ,12 ,15 ,7 ,3 ,7 ,3 ,1 ,11 ,1 ,6 ,9 ,1 ,8 ,12 ,10 ,0 
2021,110 ,21 ,7 ,9 ,7 ,3 ,7 ,1 ,1 ,8 ,1 ,6 ,8 ,1 ,8 ,12 ,10 ,0 
