년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,120 ,19 ,11 ,6 ,7 ,4 ,5 ,4 ,0 ,20 ,5 ,5 ,5 ,6 ,5 ,8 ,8 ,2 
2012,128 ,19 ,13 ,6 ,8 ,4 ,5 ,5 ,0 ,20 ,5 ,6 ,7 ,6 ,6 ,8 ,8 ,2 
2013,138 ,20 ,13 ,6 ,9 ,4 ,5 ,5 ,1 ,20 ,6 ,7 ,8 ,6 ,8 ,10 ,8 ,2 
2014,143 ,20 ,14 ,6 ,9 ,4 ,6 ,6 ,1 ,20 ,6 ,7 ,8 ,7 ,9 ,10 ,8 ,2 
2015,148 ,20 ,14 ,7 ,9 ,4 ,7 ,7 ,2 ,20 ,6 ,7 ,9 ,7 ,9 ,10 ,8 ,2 
2016,152 ,21 ,14 ,8 ,10 ,4 ,7 ,7 ,2 ,20 ,6 ,7 ,9 ,7 ,10 ,10 ,8 ,2 
2017,155 ,21 ,14 ,9 ,10 ,5 ,7 ,7 ,2 ,20 ,6 ,7 ,9 ,8 ,10 ,10 ,8 ,2 
2018,157 ,21 ,14 ,9 ,10 ,5 ,7 ,7 ,3 ,20 ,6 ,7 ,9 ,8 ,10 ,11 ,8 ,2 
2019,158 ,21 ,13 ,9 ,10 ,5 ,7 ,7 ,3 ,20 ,6 ,7 ,9 ,8 ,11 ,11 ,9 ,2 
2020,160 ,21 ,13 ,9 ,10 ,5 ,7 ,7 ,3 ,21 ,7 ,7 ,9 ,8 ,12 ,10 ,9 ,2 
2021,161 ,21 ,14 ,10 ,10 ,5 ,6 ,7 ,3 ,21 ,7 ,7 ,9 ,8 ,12 ,10 ,9 ,2 
