년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,499 ,73 ,37 ,18 ,28 ,11 ,11 ,11 ,0 ,70 ,22 ,29 ,27 ,29 ,42 ,50 ,34 ,7 
2012,499 ,73 ,36 ,19 ,27 ,11 ,11 ,10 ,0 ,70 ,22 ,28 ,26 ,30 ,48 ,49 ,32 ,7 
2013,494 ,71 ,37 ,19 ,27 ,11 ,11 ,9 ,1 ,70 ,22 ,24 ,26 ,29 ,47 ,48 ,35 ,7 
2014,499 ,71 ,36 ,19 ,27 ,11 ,11 ,9 ,1 ,74 ,23 ,24 ,27 ,29 ,46 ,49 ,36 ,6 
2015,498 ,71 ,36 ,18 ,27 ,11 ,10 ,8 ,1 ,75 ,24 ,24 ,26 ,29 ,45 ,51 ,36 ,6 
2016,497 ,70 ,36 ,17 ,27 ,11 ,10 ,8 ,1 ,75 ,24 ,24 ,26 ,29 ,47 ,51 ,35 ,6 
2017,491 ,70 ,35 ,16 ,27 ,10 ,10 ,8 ,1 ,75 ,24 ,24 ,26 ,28 ,47 ,49 ,35 ,6 
2018,490 ,70 ,34 ,16 ,27 ,10 ,10 ,8 ,1 ,75 ,24 ,24 ,26 ,28 ,47 ,49 ,35 ,6 
2019,489 ,70 ,34 ,16 ,27 ,10 ,10 ,8 ,1 ,75 ,24 ,24 ,28 ,28 ,46 ,48 ,34 ,6 
2020,489 ,70 ,33 ,16 ,28 ,11 ,10 ,8 ,2 ,74 ,23 ,24 ,30 ,28 ,43 ,49 ,34 ,6 
2021,488 ,70 ,32 ,16 ,28 ,11 ,10 ,8 ,2 ,74 ,23 ,24 ,30 ,28 ,43 ,49 ,34 ,6 
