년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,113962 ,50056 ,9627 ,15295 ,1233 ,5664 ,5874 ,2537 ,0 ,7477 ,468 ,711 ,2806 ,4036 ,3243 ,4935 ,0 ,0 
2012,143692 ,47681 ,12065 ,19362 ,4474 ,5193 ,9306 ,2342 ,0 ,11023 ,472 ,3019 ,4372 ,3994 ,5411 ,7353 ,6884 ,741 
2013,149760 ,43804 ,12646 ,19007 ,5691 ,4183 ,9864 ,2429 ,442 ,12128 ,464 ,4735 ,5163 ,3997 ,7054 ,8229 ,9214 ,710 
2014,144922 ,41943 ,11401 ,18161 ,5510 ,4186 ,8879 ,2651 ,573 ,12469 ,455 ,4719 ,5481 ,4029 ,7006 ,8152 ,8620 ,687 
2015,140708 ,41361 ,10978 ,17472 ,5603 ,3333 ,8630 ,2979 ,603 ,12150 ,455 ,4711 ,5738 ,2864 ,6811 ,7955 ,8388 ,677 
2016,138110 ,40101 ,10729 ,16927 ,5801 ,3359 ,7969 ,3020 ,600 ,11736 ,461 ,4721 ,5999 ,2945 ,6665 ,8149 ,8240 ,688 
2017,133896 ,39895 ,10180 ,15879 ,5779 ,3287 ,7927 ,3004 ,613 ,11326 ,453 ,4580 ,5801 ,2973 ,6291 ,7976 ,7932 ,0 
2018,123292 ,37824 ,9304 ,13418 ,5508 ,2355 ,7560 ,2026 ,618 ,10912 ,453 ,4310 ,5472 ,2843 ,5762 ,7518 ,7409 ,0 
2019,113929 ,34126 ,8395 ,12138 ,5338 ,2180 ,7233 ,1902 ,626 ,10478 ,458 ,4092 ,5278 ,2613 ,5216 ,7015 ,6841 ,0 
2020,102417 ,31857 ,6446 ,10802 ,4530 ,2026 ,6874 ,1755 ,616 ,8783 ,463 ,3943 ,5153 ,1089 ,4869 ,6645 ,6566 ,0 
2021,76846 ,19627 ,3607 ,5770 ,4438 ,1900 ,6665 ,540 ,608 ,6659 ,468 ,3824 ,4286 ,1090 ,4630 ,6399 ,6335 ,0 
