년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,340227 ,55630 ,28877 ,18850 ,22642 ,11590 ,10276 ,10022 ,0 ,67979 ,9598 ,18031 ,13273 ,13034 ,17865 ,18136 ,19772 ,4652 
2012,330797 ,53500 ,27300 ,19760 ,21356 ,11429 ,10358 ,9001 ,0 ,65290 ,9663 ,17361 ,13252 ,13231 ,18603 ,17900 ,18077 ,4716 
2013,320374 ,50768 ,26100 ,19114 ,21308 ,11156 ,10429 ,8494 ,756 ,62920 ,9665 ,15474 ,13312 ,13214 ,17768 ,16993 ,18130 ,4773 
2014,313449 ,49692 ,23838 ,18336 ,21433 ,10507 ,10272 ,8705 ,610 ,61166 ,9745 ,15497 ,13321 ,13872 ,18087 ,16866 ,17420 ,4082 
2015,302021 ,49110 ,22823 ,16894 ,21527 ,9967 ,9363 ,7706 ,457 ,58514 ,9485 ,15088 ,12761 ,13402 ,17491 ,16951 ,16474 ,4008 
2016,290632 ,47915 ,21993 ,16261 ,20841 ,9354 ,9098 ,7504 ,453 ,55415 ,9190 ,14504 ,12516 ,13083 ,16966 ,16416 ,15201 ,3922 
2017,274281 ,46734 ,20771 ,14738 ,19577 ,8290 ,8570 ,7190 ,421 ,52719 ,8603 ,13513 ,11705 ,11938 ,16021 ,15377 ,14311 ,3803 
2018,252260 ,43912 ,18447 ,13462 ,17788 ,7621 ,7815 ,6472 ,401 ,49227 ,8008 ,12471 ,10513 ,10766 ,14609 ,13964 ,13184 ,3600 
2019,230098 ,41265 ,16561 ,12280 ,15904 ,7037 ,6823 ,5555 ,363 ,45536 ,7065 ,11159 ,10092 ,9259 ,13063 ,12851 ,11995 ,3290 
2020,212294 ,38452 ,15226 ,11567 ,14669 ,7005 ,5962 ,4806 ,426 ,41846 ,6235 ,10276 ,10077 ,7978 ,11866 ,11816 ,11011 ,3076 
2021,198663 ,35349 ,14696 ,10972 ,13638 ,6487 ,5467 ,4404 ,495 ,39511 ,5790 ,9691 ,9630 ,7278 ,10970 ,11061 ,10270 ,2954 
